Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
aiginōną,to appropriate,āgnian,-,eignen,eigenen,-
ainaugijaz,one-eyed,ānīeġe,-,einäugig,-,enögd
fōstrą,fostering,fōstor,foster,-,-,foster
akramann-,"plowman, farmer",æcermann,acreman,Ackermann,-,-
blōþagaz,bloody,blōdiġ,bloody,blutig,bloedig,blodig
blōþagōną,to make bloody,blōdgian,bloody,-,-,blodga
furibudą,"A prohibition, forbidding",forbod,forbode,Verbot,verbod,förbud
hwirbilaz,"circle, ring, whirl",hwierfel,whirl,Wirbel,wervel,virvel
hwirbilōną,to whirl,*hwirfilian,whirl,wirbeln,wervelen,virvla
melkaz,"giving milk, milch",melc,milch,melk,-,-
krabblōną,"to crawl, paw",*crabblian,crabble,krabbeln,krabbelen,kravla
laimaz,"loam, mud, clay",lām,loam,Lehm,leem,-
landaskapiz,landscape,landsċipe,landscape,Landschaft,landschap,landskap
klaimijaną,"to smear with clay, mortar",clǣman,cleam,-,-,klema
būwijaną,"to settle, to inhabit",bȳan,big,-,-,bygga
wīnagardaz,vineyard,wīnġeard,vineyard,Weingarten,wijngaard,vingård
wīnadrunkanaz,"wine-drunk, drunk on wine",wīndruncen,winedrunken,weintrunken,-,-
midjadagaz,noon,middæġ,midday,Mittag,middag,middag
midjanahts,midnight,midniht,midnight,Mitternacht,middernacht,midnatt
fallaz,a fall,feall,fall,Fall,val,fall
wunskaz,wish,wūsc,-,Wunsch,wens,-
feþurfalþaz,"quadruple, fourfold",fēowerfeald,fourfold,vierfalt,viervoud,-
þrifalþaz,"triple, threefold",þrifeald,threefold,dreifalt,drievoud,trefaldig
-falþaz,"-fold. suffix denoting multiplication, or consisting of so many parts.",-feald,-fold,-falt,-voud,-fald
wīhą,"sacred area, sanctuary",wēoh,Odense,-,-,vi
barnalausaz,childless,bearnlēas,bairnless,-,-,barnlös
hlaupą,leap,hlēap,leap,Lauf,loop,-
sīn,third-person plural present active subjunctive of *wesaną,sīen,-,seien,zijn,-
timrijaną,"to construct, build",timbran,timber,zimmern,timmeren,-
þuliz,reciter,þyle,thyle,-,-,tul
nīþijaną,to revile,nīþan,nithe,neiden,nijden,-
dwaljaną,"to be confused, perplex",dwellan,dwell,-,-,dvälja
stamrōną,to stammer,stamerian,stammer,-,stameren,-
wēgō,scales,wǣġ,wey,Waage,waag,våg
wardamann-,"watchman, warder",weardmann,wardsman,Wartmann,-,-
þawjaną,to thaw,*þāwan,thaw,dauen,dooien,töa
wērō,truth,wǣr,-,Wahre,waar,-
arbaidiją,"toil, work",earfoþ,-,Arbeit,-,arbete
hrōpaz,"call, cry, shout",hrōp,-,Ruf,roep,rop
stōdahrussą,"stallion, studhorse",stōdhors,studhorse,Stutroß,-,-
kurnahūsą,"granary, barn",cornhūs,corn house,Kornhaus,-,-
gernô,"willingly, eagerly",ġeorne,-,gern,gaarne,gärna
gasitjaną,"to sit down, take a seat",gesittan,-,gesitzen,gezitten,-
hwītijaną,"to make white, whiten",hwītan,white,weißen,witten,-
gawinnaną,"to labour, toil",ġewinnan,-,gewinnen,gewinnen,-
starāną,"to gaze, stare",starian,stare,starren,staren,-
starablindaz,completely blind,stærblind,star-blind,starblind,staarblind,-
suflą,entremets,sufel,sowl,-,zuivel,sofvel
gudalausaz,"without god, godless",*godlēas,godless,gottlos,goddeloos,gudlös
swaipijaną,to sweep,*swǣpan,sweep,schweifen,-,svepa
wirsiz,more badly,wiers,worse,wirs,wers,värre
grīsaną,"to shudder, to shake",grīsan,grise,-,afgrijzen,-
snūtijaną,to blow one's nose,snȳtan,snite,schneuzen,snuiten,snyta
skurtāną,to be short,sċortian,short,-,schorten,-
budaskapiz,message,bodsċipe,-,Botschaft,boodschap,-
dusāną,"to be stunned, swoon",*dusian,doze,dösen,-,-
dawwāną,to bedew,*dēawian,dew,tauen,dauwen,dugga
taiknijaną,"to show, point",tǣcnan,-,zeichnen,tekenen,teckna
taiknōną,"to show, point",tācnian,token,zeichnen,-,teckna
swelaną,to burn,swelan,sweal,schwelen,zwelen,-
skrapōną,"to scrape, scratch",sċrapian,scrape,schrappen,schrapen,skrapa
hlūdą,sound,*hlūd,-,Laut,luid,-
sprantijaną,to make jump up,sprentan,sprint,-,-,sprätta
trēgiz,"lazy, idle",trāg,-,träg,traag,-
hinkaną,"to limp, to hobble",hincian,-,hinken,hinken,-
fijandiskapiz,"enmity, hostility",fīondsċipe,fiendship,Feindschaft,-,-
wallijaną,"to (cause to) well up, well over, boil",wiellan,well,wellen,wellen,-
haitijaną,"to make hot, heat",hǣtan,heat,heizen,heten,-
halþijaną,"to make incline, tilt, incline",hieldan,hield,-,hellen,hälla
fastāną,"to observe, hold firm to",festia,-,fasten,vasten,fasta
fulgāną,to follow,folgian,follow,folgen,volgen,-
fūlijaną,"to befoul, make dirty",fȳlan,file,-,vuilen,-
þulāną,"to bear, to endure",þolian,thole,dolen,-,tåla
hangāną,"to hang, to be suspended",hangian,hang,hängen,hangen,hänga
hatāną,to hate,hatian,hate,hassen,haten,hata
finnaz,Sami? Finn?,Finn,Fins,Finne,-,finne
rīpiz,ripe,rīpe,ripe,reif,rijp,-
wakāną,"to wake, to be awake",wacian,wake,wachen,waken,vaka
friþusamaz,peaceful,friþsum,-,friedsam,vreedzaam,fridsam
krafjaną,to demand,crafian,crave,-,-,kräva
þunrōną,to thunder,þunrian,thunder,donnern,donderen,dundra
talōną,"to tell, speak, recount",talian,tale,zahlen,talen,tala
stampōną,"to compress, to squeeze",*stampian,stamp,stampfen,stampen,stampa
wundōną,to wound,wundian,wound,-,wonden,-
wurdōną,to speak,wordian,word,-,-,orda
lukkōną,to caress,*loccian,-,locken,lokken,locka
sigiþiz,sickle,sigþe,scythe,-,zicht,-
garaidaz,"ready, arranged, prepared",ġerǣde,ready,-,gereed,redo
raukijaną,to smoke,rīeċan,-,rauchen,roken,röka
lustijaną,"to lust, desire",lystan,list,lüsten,lusten,lysta
lustōną,"to lust, desire",*lustian,lust,lusten,lusten,lusta
daubijaną,"to make insensitive, to numb",dīefan,-,täuben,doven,döva
kōlijaną,"to make cold, to cool",cœ̄lan,keel,kühlen,koelen,kyla
wōdijaną,"to rage, to be furious",wēdan,-,wüten,woeden,-
slaupijaną,to slip off,slīepan,-,schlaufen,slopen,-
slingwaną,"to swing, sling",slingan,sling,schlingen,slingen,-
swaitijaną,to sweat,swǣtan,sweat,schweißen,zweten,svettas
straupijaną,"to strip, wipe, pluck",*strīepan,strip,-,strippen,strypa
laubō,permission,lēaf,leave,Laube,love,-
arbijaną,to inherit,ierfan,-,erben,erven,ärva
þurstijaną,"to thirst, to be thirsty",þyrstan,thirst,dürsten,dorsten,törsta
bōtijaną,to improve,bētan,beet,büßen,boeten,böta
gailaz,"merry, excited, lush, beautiful, lustful",gāl,gole,geil,geil,gäl
hwalbijaną,to cause to turn over,*hwielfan,-,wölben,welven,välva
wīdijaną,to widen,*wīdan,-,weiten,wijden,-
hersô,"skull, crown",hærn,harns,Hirn,hersens,hjärna
furaikwemaną,"to come before, to precede",forecuman,forecome,vorkommen,voorkomen,-
furaisagjaną,to say beforehand,foreseċġan,foresay,vorsagen,voorzeggen,-
hagōną,to make possible,*hagian,-,hagen,hagen,-
sebunstirniją,Pleiades,seofonstierre,-,Siebenstern,zevenster,-
stūpaną,to stoop,stūpian,stoop,-,stuipen,stupa
skrīkijaną,"to cry, scream, shriek",*sċrīċan,shriek,-,-,skrika
skellaną,"to sound (strong), clatter, ring",scellan,-,schellen,schellen,skälla
kirnijaną,to churn,cernan,churn,kirnen,karnen,kärna
kirnijǭ,a churn,ċirin,churn,Karn,karn,kärna
setą,seat,set,set,-,zet,-
sailijaną,to bind (with rope),sǣlan,seal,-,zelen,-
wundralīkaz,"wondrous, marvellous",wundorlīċ,wonderly,wunderlich,wonderlijk,underlig
rukkijaną,"to pull, to tug",*ryċċan,rick,rücken,rukken,rycka
skurōną,"to cut, to incise",scorian,score,-,scoren,-
fleutą,"river, stream",flēot,fleet,Fleet,vliet,fljut
baitijaną,to make bite,bǣtan,bait,beizen,beten,-
wulbī,she-wolf,wylf,-,Wülpe,-,Ylva
hagjō,hedge,heċġ,hedge,Hecke,heg,häck
gerstō,barley,gorst,gorse,Gerste,gerst,-
skinkô,thigh; shank,*sċenc,skink,Schinken,schink,skinka
skaljaną,"to peel, to shell",*sciellan,-,schälen,schillen,-
hnaigijaną,to make bow,hnǣġan,-,neigen,neigen,-
linhtijaną,to make light,līehtan,light,-,lichten,-
naudijaną,"to compel, to force",nīedan,need,-,noden,-
skainijaną,to make shine,sċǣnan,sheen,bescheinigen,-,-
dunjaną,"to make a noise, to resound",dynnan,dine,dünen,-,-
faþmōną,"to fathom, to measure with outstretched arms",fæþmian,fathom,-,vademen,famna
laihnijaną,"to loan, lend",lǣnan,len,-,lenen,läna
hristijaną,to shake,*hristan,rustle,-,risten,-
meldǭ,"a plant of the genus Chenopodium, goosefoot",melde,milds,Melde,melde,målla
sputtijaną,to spit,spyttan,spit,spützen,sputten,-
sparrijaną,"to bar, to block",sperran,-,sperren,sperren,spärra
taumijaną,to bridle,tēman,teem,zäumen,tomen,-
naglijaną,To nail,næġlan,nail,nageln,nagelen,nagla
tadjaną,"to strew, scatter",*teddan,ted,zetten,-,-
sētō,"place, position",sǣt,-,Saße,-,försåt
gaginjaną,to go against,ġieġnan,gain,begegnen,bejegenen,-
fērijaną,"to terrify, to frighten",fǣran,fear,-,vervaren,-
gaigijaną,"to move back and forth, to totter",*gǣġan,geg,geigen,-,-
Audawakraz,a male given name,Ēadwacer,Odoacer,Otakar,-,-
gesteran,yesterday,ġiestran,-,gestern,gisteren,-
knuttijaną,to bind into a knot,cnyttan,knit,-,knutten,knyta
smeukaną,"to smoke, fume",smēocan,-,smiehen,smuiken,-
hrimpaną,"to wrinkle, to fold",hrimpan,-,rümpfen,rimpelen,-
wetmô,"dowry, bride price",wituma,-,Wittum,weem,-
fastijaną,to fasten,fæstan,fast,-,vesten,fästa
gawją,"district, shire, region, area",-ġē,-,Gau,gouw,-
sukkaz,light footwear,socc,sock,Socke,-,socka
ēbanþs,evening,ǣfen,even,Abend,avond,afton
swammijaną,to make swim,*swemman,-,schwemmen,zwemmen,-
wrankijaną,"to wring, to twist",wrencan,wrench,renken,-,-
bistalkōną,to stalk at (someone),*bestealcian,bestalk,-,bestalken,-
kaizwijaną,to turn,ċierran,char,kehren,keren,köra
staupijaną,to pour,*stīepan,steep,-,-,stöpa
baþjaną,"to moisturize, to make wet (with warm water)",bæþþan,beath,-,betten,-
untriwwiz,"untrue, disloyal, unfaithful",untrīewe,untrue,untreu,ontrouw,-
kangura-,The meaning of this term is uncertain. Possibilities include:,*gangel,-,Kanker,-,kangro
wibilaz,"beetle, weevil",wifel,weevil,Wiebel,wevel,vivel
turdawibilaz,dung-beetle,tordwifel,-,-,tortwevel,tordyvel
sijǭ,first-person singular present active subjunctive of *wesaną,sīe,-,sei,zij,-
wēzī,third-person singular present active subjunctive of *wesaną,wǣre,-,wäre,ware,-
wēzīn,third-person plural past active subjunctive of *wesaną,wǣren,were,wären,waren,vore
hnippōną,to pinch,*hnippian,nip,nippen,nippen,-
krammōną,to squeeze,crammian,cram,-,-,krama
dilī,"dill, anise",dile,dill,Dill,dille,dill
þarbāną,"to need, to want, to lack",þearfian,-,darben,derven,-
nahtāną,to become night,*neahtian,night,nachten,nachten,-
taubrōną,"to enchant, to bewitch",*tēafrian,-,zaubern,toveren,-
arbaidōną,"to work, to labour",earfodian,-,arbeiten,-,arbeta
blōmōną,to blossom,*blōmian,bloom,-,bloemen,-
skōhōną,to shoe,sċōġan,shoe,schuhen,schoeien,sko
þewanōną,to serve,þegnian,-,dienen,dienen,tjäna
ebnōną,to even out,efnian,even,ebnen,effenen,jämna
skapōną,to shape,*skapian,shape,schaffen,schapen,skaffa
kwakōną,to quack,cwacian,quack,quaken,kwaken,kvaka
īsāną,"to become covered with ice, to freeze over",*īsian,-,eisen,ijzen,-
niwjōną,"to renew, to make new",nīewian,new,neuen,nieuwen,-
nēhwāną,"to come closer, to approach",*nēahian,nigh,nahen,-,nå
flekkōną,"to stain, to blemish",*fleccian,fleck,flecken,vlekken,fläcka
gapōną,"to gape, to yawn",*gapian,gape,gaffen,gapen,gapa
gabbōną,"to joke, to mock",*gabbian,gab,-,gabben,begabba
timrōną,"to construct, build",timbrian,timber,zimmern,-,timra
hungrōną,"to be hungry, starve",*hungrian,hunger,hungern,-,hungra
spurōną,to spur,*sporian,spur,-,sporen,-
lagōną,"to establish, fasten",lagian,law,-,-,laga
dimmōną,"to dim, to darken",dimmian,dim,dimmen,dimmen,-
feturōną,"to fetter, to chain, to bind together",*feterian,fetter,-,veteren,fjättra
druppōną,"to drop, to fall",droppian,drop,tropfen,druppen,droppa
gīslōną,to take hostage,gīslian,-,geiseln,gijzelen,-
gladōną,to make cheerful,gladian,glad,-,gladden,-
sumarōną,to become summer,*sumerian,summer,sommern,zomeren,-
swarmijaną,to swarm,swirman,swarm,schwärmen,zwermen,svärma
swankijaną,"to cause to swing, to waver",swenċan,-,schwenken,zwenken,-
apluz,alternative form of *aplaz,æppel,apple,Appel,appel,-
rudjaną,to clear,āryddan,rid,-,-,röja
staluz,"post, stake, stud",stalu,stale,-,staal,-
stalukaz,small rod or staff,*stealuc,stalk,-,-,stjälk
blaką,"blackness, the colour black",blæc,black,Black,blak,bläck
grundijaną,To bring down to the ground,gryndan,-,gründen,-,grynna
grundōną,"To establish, to lay the foundations of",*grundian,-,-,gronden,grunda
stikjaną,To stick,*stiċċan,stitch,sticken,stikken,-
stainijaną,to furnish with stones,stǣnan,steen,steinen,stenen,stena
diupijaną,to deepen,dīepan,deep,teufen,diepen,-
bramjaną,to roar,bremman,-,brimmen,bremmen,-
rēsijaną,"to race, rush",rǣsan,-,rasen,razen,-
līmijaną,to adhere,līman,lime,leimen,lijmen,limma
lauþrijaną,to soap,līeþran,lather,-,-,löddra
haguz,alternative form of *hagô,hæg,hay,Hag,-,-
runilaz,"runner, stream",rynel,runnel,-,-,rännil
slakaz,weak,slæc,slack,schlack,slak,slak
bakaburdaz,"the larboard side of a ship, backboard",bæcbord,backboard,Backbord,bakboord,babord
samnungō,"gathering, assembly",samnung,-,Samnung,zamening,-
werkadagaz,workday,weorcdæġ,workday,Werktag,-,-
regnawatōr,rainwater,reġnwæter,rainwater,Regenwasser,-,regnvatten
gadô,"associate, partner, comrade, companion",gada,gad,Gatte,gade,-
hringōną,to make (into) a ring,hringian,ring,-,ringen,-
stabnijaną,to make oneself be heard,stemnan,-,stimmen,stemmen,stämma
fōdrōną,"to feed animals, to give fodder",*fōdrian,fodder,-,-,fodra
humelaz,bumblebee,*humbel,bumblebee,Hummel,hommel,humla
hummōną,to hum,hummen,hum,hummen,hommelen,-
stapiz,a step,stæpe,step,Stapf,-,-
aukōną,"to increase, to grow",ēacian,eke,-,-,öka
lubjaną,to apply a herb or potion,*lybban,lib,lüppen,lubben,-
glidǭ,kite (bird of prey),glida,glede,-,glee,glada
seþlą,seat,seþl,settle,-,zedel,-
stikkô,"stick, pole",sticca,stick,Stecken,stek,sticka
ubiswō,eaves,œfis,eaves,-,ozie,ofs
jungijaną,to make young,*ġinġan,-,verjüngen,-,ynga
skībǭ,slice,*sċīfe,shive,Scheibe,schijf,skiva
wisnaną,to wither,wisnian,wizen,-,-,vissna
twiznāną,"to twine, wind threads",*twīnian,twine,zwirnen,tweernen,tvinna
grunnitjaną,to grunt,*gryntan,grint,-,-,grymta
gastihūsą,guesthouse,ġiesthūs,guesthouse,Gasthaus,gasthuis,gästhus
preunōną,to stab,*prēonan,preen,-,priemen,-
aitrōną,to fester,ǣtrian,atter,eitern,etteren,-
underkuningaz,"underking, viceroy",undercyning,underking,Unterkönig,onderkoning,underkung
hailasamaz,"wholesome, sound, healthy",*hālsum,wholesome,heilsam,heilzaam,-
murhō,synonym of *murhǭ (“wild carrot”),moru,more,Morche,-,-
hūsalausaz,houseless,*hūslēas,houseless,hauslos,huisloos,huslös
unswōtuz,unsweet,unswēte,unsweet,unsüß,onzoet,osöt
sakōlausaz,"free from charge or accusation, innocent; guiltless",saclēas,sackless,-,-,saklös
segnōną,to bless,segnian,sain,segnen,zegenen,-
fiþulǭ,fiddle,*fiþele,fiddle,Fiedel,vedel,fidla
flakurōną,to beat repeatedly,*flacorian,flacker,flackern,flakkeren,-
flugjaz,"Having feathers, fledged.",*flyċġ,fledge,flügge,vlug,flygg
hringijǭ,"ringlet, loop",hrinġe,ring,Rinke,-,ringa
slautijǭ,"hail, rime",*slīete,sleet,Schloße,-,-
kagô,bush,*ċeaga,chag,Kag,-,kage
snaisō,a cut-off twig,snās,-,Schneise,snees,snes
unþafleuhaną,"to flee away, escape",ōþflēon,-,entfliehen,ontvlieden,undfly
fōstrōną,"to foster, nurture",fōstrian,foster,-,voedsteren,fostra
innōną,to take inside,innian,in,innen,innen,-
framōną,to advance,framian,frame,-,vramen,-
kattǭ,female cat,catte,-,Katze,kat,katta
swīmô,dizziness,swīma,swim,Schweim,zwijm,svim
-samaz,-some. Forms adjectives from nouns and adjectives expressing similarity or the possession of a quality.,-sum,-some,-sam,-zaam,-sam
ankurô,anchor,ancor,anchor,Anker,anker,ankare
mōtō,tax,mōt,-,Maut,-,muta
fōtspurą,"trail of footprints, visible footsteps",fōtspor,-,Fußspur,voetspoor,fotspår
wastijō,"dress, garment",*wæste,gaiter,Wester,-,-
twiskaz,"twofold, double",*twisċ,betwixt,zwischen,-,-
tullaz,"toll, custom",toll,toll,Zoll,tol,tull
sagōną,"to saw, cut",*sagian,saw,sägen,zagen,saga
unkunþīgaz,unknown,uncȳþiġ,-,unkundig,onkundig,okunnig
kunþīgaz,made known,cȳþiġ,-,kundig,kundig,kunnig
līmaz,"glue, lime",līm,lime,Leim,lijm,lim
stadigōną,"to stop, make stand still",stediġian,-,-,stadigen,stadga
niþerōną,to make lower,niþerian,nether,-,nederen,förnedra
wēragangijô,foreigner (wanting protection),wǣrgenġa,Varangian,-,-,väring
grōnāną,"to become green, flourish",grēnian,green,grünen,groenen,-
sairą,wound,sār,sore,-,zeer,sår
writtōną,to carve,writian,-,ritzen,ritsen,-
halsōną,"to embrace, hug",*healsian,halse,-,halzen,halsa
þekwōną,"to make thick, to thicken",þiccian,thick,-,dikken,-
stundōną,"to start, initiate",*stundian,stound,stunden,-,stunda
sparkaz,"energetic, lively",spearca,spark,Sparke,spark,-
haglōną,to hail,hagalian,hail,hageln,hagelen,hagla
gahnaistô,spark,*gnāst,gnast,Gneist,genster,gnist
fuhsinī,"vixen, female fox",*fyxen,fixen,Füchsin,vossin,-
skaibaz,"slanted, oblique, inclined, sloping",*sċāb,-,schief,scheef,skev
lausungō,"releasing, liberation; removal",lēasung,leasing,Lösung,lozing,-
krēaną,"to crow, shout",crāwan,crow,krähen,kraaien,-
wedrōną,to expose to the weather,wederian,wither,wettern,wederen,vädra
galdijaz,"unfruitful, barren, infertile",ġelde,geld,galt,geld,gall
spīkō,"a large nail, spike",spīcing,spiking,-,spijk,spik
tīdijaną,to strive for,tīdan,tide,-,tijen,-
tīmōną,"to occur, happen",ġetīmian,time,-,-,tima
finhlōną,"to file, polish",fīlian,file,feilen,vijlen,-
wēpnōną,"to arm, take up weapons",wǣpnian,weapon,wappnen,wapenen,-
twiznaz,"thread, twine",twīn,twine,Zwirn,tweern,-
būrą,"room, chamber",būr,bower,-büren,-,bur
unfriþuz,"absence of peace: strife, hostility, unease",unfriþ,unfrith,Unfriede,onvrede,-
brutą,"that which is broken off (e.g. piece, fragment etc.)",*brot,brot,Bross,-,brott
hugōną,"to have in mind, think",hogian,ho,-,heugen,-
wallōną,"to roll, turn",weallian,-,wallen,wallen,-
raką,cord,*ræc,rackle,-,rak,-
kalbōną,to calve,ċealfian,calve,kalben,kalven,kalva
uberstīganą,to ascend or climb over,oferstīgan,-,übersteigen,overstijgen,-
uberlīþaną,"to go across, go over",oferlīþan,-,überleiden,overlijden,-
ubergeutaną,to pour over,oferġēotan,-,übergießen,overgieten,-
uberwahsijaną,"to overgrow, grow excessively",oferweaxan,overwax,überwachsen,overwassen,-
uberlagjaną,"to lay upon, overlay, cover",oferlecgan,overlay,überlegen,overleggen,överlägga
frawerpaną,"to throw away, cast away",forweorpan,forwerp,verwerfen,verwerpen,-
fratrudaną,to trample,fortredan,fortread,vertreten,vertreden,-
managafalþōną,to multiply,manigfealdian,manifold,-,-,mångfalda
kulukaz,"a hollow, depression, or well",*colc,coke,Kolk,kolk,-
brantaz,"tall, high, towering",brant,brant,-,-,brant
skelfō,"crag, cliff",sċielf,shelf,-,schelf,skälv
stallōną,to place into a stable,steallian,stall,-,stallen,stalla
granjōną,to howl,grennian,grin,grannen,grinnen,gränja
midlōną,"to join in the middle, to meet in between",midlian,middle,mitteln,middelen,medla
farsī,cow; heifer,*færu,heifer,Färse,vaars,-
þwerhōną,to make crosswise,þweorian,-,queren,-,tvära
kwikwǭ,"a type of grass, similar to wheat; couch grass",cwice,quitch,Quecke,kweek,kvicka
tehundōną,"to pay a tithe, to pay a tenth of something",tēoþian,tithe,-,tienden,tionda
jukōną,to yoke,ġeocian,yoke,jochen,jukken,-
arkō,chest,earce,ark,Arche,ark,ark
þrawōną,"to desire, long for",þrēawian,-,drohen,-,trå
kippōną,to chop,*cippian,chip,-,kippen,kippa
grasugaz,grasslike,*græsiġ,grassy,grasig,grazig,-
sunnô,the sun,sunna,sun,Sonne,zon,-
ēbanþāną,to become evening,ǣfnian,-,abenden,avonden,aftnas
dungōną,to cover,*dungian,dung,-,dongen,dunga
gahaitą,"pledge, vow, promise",ġehāt,-,Geheiß,geheet,-
understandaną,to stand beneath,understandan,understand,-,-,understånda
regnagaz,rainy,reġniġ,rainy,regnig,regenig,regnig
fartōną,to fart,*feartian,fart,farzen,-,-
bredą,"board, plank, shelf",bred,bred,Brett,berd,brädd
garēdaną,to advise,ġerǣdan,-,geraten,geraden,-
sparwahabukaz,sparrowhawk,spearhafoc,sparhawk,-,-,sparvhök
kūtiz,bag,*cȳte,kidney,-,kuit,kut
biwandijaną,to cause to turn around,bewendan,bewend,bewenden,bewenden,-
faldōną,to fold up,*fealdian,fold,falten,vouwen,-
hrungō,"stake, spoke, rod, spike, rung",hrung,rung,Runge,rong,-
warō,"a good, merchandise, ware",waru,ware,Ware,waar,vara
hinō dagō,"today, on this day",hēodæġ,-,heute,huidig,-
gesteraz,yesterday,ġiestran,-,gestern,gisteren,-
Ingwô,"Ing, Yngvi, god of fertility",Ingwi,-,Ingo,-,Yngve
wasô,"meadow, field",*wasa,-,Wasen,waas,-
Frīsô,a member of the Frisii,Frīsa,Frise,Friese,Fries,-
nikraz,"a Nix, a malicious water spirit, attested among most Germanic peoples",nicor,nicker,-,-,näck
hulandraz,an elder tree; a tree of the genus Sambucus,ellen,elder,Holunder,holender,-
haiþīnaz,from or of uncultivated land,hǣþen,heathen,-,-,heden
skutōną,"to shoot, shoot out",sċotian,shoot,schoßen,-,-
wīlą,craft,wīl,wile,-,-,väl
flikkiją,piece of meat,fliċċe,flitch,-,vlik,-
kāsijaz,cheese,ċīese,cheese,Käse,kaas,-
warją,"fortification, embankment",wer,weir,Wehr,weer,-
gumbōną,"to cause to hop, skip, or bounce; to jolt, push, shove",*gumbian,jump,gumpen,-,gumpa
lappaz,"flap, lobe",læppa,lap,Lappe,lap,lapp
strangijaz,"strong, mighty, firm",strenġe,stringe,streng,streng,sträng
klaiþijaną,to clothe,clǣþan,clead,kleiden,kleden,kläda
dauþalīkaz,"deadly, fatal",dēaþlīċ,deathly,tödlich,dodelijk,dödlig
teldōną,to spread,teldian,teld,zelten,-,tjälda
blusją,"firebrand, torch",blysa,-,-,bleus,blys
pungaz,small bag; purse,pung,-,-,pong,pung
snarhaz,hard-twisted (of a rope),snear,-,-,snaar,snar
friþulausaz,"lacking peace, peaceless",friþlēas,-,friedlos,vredeloos,fredlös
heupǭ,"thornbush (e.g. hawthorn, wild rose, etc.)",hēope,hip,Hiefe,hiep,hypa
stainōną,"to stone, throw stones (at)",*stānian,stone,steinen,-,stena
fleutaz,"nimble, quick",*flēot,fleet,-,-,flyt
bernuz,bear,beorn,baron,-,-,björn
arnuz,eagle,earn,erne,Arn,arend,örn
gudinī,goddess,gyden,-,Göttin,godin,gudinna
fastubniją,"adherence, observance, keeping",fæsten,fast,-,vasten,-
lībalausaz,lifeless,līflēas,lifeless,leiblos,lijveloos,livlös
skamōlausaz,shameless,sċamlēas,shameless,schamlos,-,skamlös
tanþlausaz,toothless,tōþlēas,toothless,zahnlos,tandeloos,tandlös
wēpnalausaz,"weaponless, unarmed",wǣpnlēas,weaponless,waffenlos,wapenloos,vapenlös
wegalausaz,"roadless, without roads",weġlēas,wayless,weglos,wegeloos,väglös
rēdalausaz,"ill-advised, unwise",rǣdlēas,-,ratlos,radeloos,rådlös
matilausaz,"foodless, lacking food",metelēas,meatless,-,-,matlös
swellijō,"sill, wooden foundation beam",syll,sill,Schwelle,-,syll
snakjaną,"to sniff at, root around",*snæċċan,snatch,-,snakken,-
snakkǭ,"sailing vessel, boat",snacc,snekke,Schnacke,snek,schnacke
keutaz,bag,*ċēoter,chitterling,-,kuit,kut
tappōną,to tap (to draw off liquid in small amounts),tæppian,tap,zapfen,tappen,tappa
rēhō,"row, line",rāwe,-,Rah,ra,råmärke
spaikō,spoke,spāca,spoke,Speiche,spaak,-
ēbanþsternǭ,The evening star,ǣfensteorra,evenstar,Abendstern,avondster,aftonstjärna
þuftǭ,rowing bench,þofte,thoft,-,doft,toft
sangijaną,"to burn, torch",senġan,singe,sengen,zengen,-
